iter	Passed	Remaining
564	2168	1669
565	2172	1665
566	2175	1661
567	2179	1657
568	2183	1653
569	2186	1649
570	2189	1645
571	2193	1641
572	2196	1637
573	2200	1632
574	2203	1628
575	2207	1624
576	2210	1620
577	2214	1616
578	2217	1612
579	2221	1608
580	2225	1604
581	2228	1600
582	2232	1596
583	2235	1592
584	2238	1588
585	2242	1584
586	2246	1580
587	2249	1576
588	2253	1572
589	2256	1568
590	2260	1564
591	2263	1560
592	2266	1555
593	2270	1551
594	2273	1547
595	2276	1543
596	2280	1539
597	2283	1535
598	2286	1530
599	2290	1526
600	2293	1522
601	2297	1518
602	2300	1514
603	2304	1510
604	2307	1506
605	2312	1503
606	2316	1499
607	2320	1496
608	2324	1492
609	2328	1488
610	2331	1484
611	2335	1480
612	2338	1476
613	2342	1472
614	2345	1468
615	2348	1464
616	2352	1460
617	2356	1456
618	2360	1452
619	2364	1449
620	2367	1445
621	2371	1441
622	2375	1437
623	2378	1433
624	2381	1429
625	2385	1425
626	2389	1421
627	2393	1417
628	2396	1413
629	2400	1409
630	2403	1405
631	2407	1401
632	2410	1397
633	2413	1393
634	2417	1389
635	2421	1385
636	2424	1381
637	2428	1377
638	2431	1373
639	2435	1369
640	2438	1365
641	2442	1361
642	2445	1357
643	2448	1353
644	2452	1349
645	2455	1345
646	2459	1341
647	2462	1337
648	2466	1333
649	2469	1329
650	2472	1325
651	2476	1321
652	2479	1317
653	2483	1313
654	2486	1309
655	2489	1305
656	2493	1301
657	2497	1297
658	2500	1293
659	2504	1290
660	2508	1286
661	2511	1282
662	2515	1278
663	2519	1274
664	2523	1271
665	2527	1267
666	2531	1263
667	2535	1259
668	2539	1256
669	2542	1252
670	2546	1248
671	2550	1244
672	2553	1240
673	2557	1236
674	2560	1233
675	2564	1229
676	2567	1225
677	2571	1221
678	2574	1217
679	2578	1213
680	2582	1209
681	2585	1205
682	2588	1201
683	2592	1197
684	2596	1193
685	2599	1189
686	2602	1185
687	2606	1181
688	2609	1178
689	2613	1174
690	2616	1170
691	2620	1166
692	2623	1162
693	2627	1158
694	2631	1154
695	2634	1150
696	2637	1146
697	2641	1142
698	2645	1139
699	2648	1135
700	2651	1131
701	2655	1127
702	2658	1123
703	2662	1119
704	2665	1115
705	2668	1111
706	2672	1107
707	2675	1103
708	2679	1099
709	2682	1095
710	2686	1091
711	2689	1088
712	2693	1084
713	2697	1080
714	2700	1076
715	2704	1072
716	2707	1068
717	2711	1064
718	2714	1061
719	2718	1057
720	2722	1053
721	2725	1049
722	2728	1045
723	2732	1041
724	2735	1037
725	2739	1033
726	2742	1029
727	2746	1026
728	2749	1022
729	2753	1018
730	2756	1014
731	2760	1010
732	2764	1006
733	2768	1003
734	2772	999
735	2776	995
736	2779	992
737	2784	988
738	2787	984
739	2791	980
740	2795	977
741	2798	973
742	2802	969
743	2806	965
744	2810	961
745	2814	958
746	2818	954
747	2822	950
748	2826	947
749	2829	943
750	2833	939
751	2838	935
752	2842	932
753	2845	928
754	2849	924
755	2853	920
756	2857	917
757	2860	913
758	2864	909
759	2868	905
760	2871	901
761	2875	898
762	2879	894
763	2883	890
764	2887	886
765	2890	883
766	2894	879
767	2898	875
768	2902	871
769	2906	868
770	2910	864
771	2913	860
772	2917	856
773	2920	852
774	2924	849
775	2928	845
776	2932	841
777	2935	837
778	2939	833
779	2942	829
780	2946	826
781	2950	822
782	2953	818
783	2958	815
784	2962	811
785	2966	807
786	2969	803
787	2972	799
788	2976	796
789	2980	792
790	2983	788
791	2987	784
792	2990	780
793	2994	777
794	2998	773
795	3002	769
796	3005	765
797	3009	761
798	3012	757
799	3016	754
800	3019	750
801	3023	746
802	3027	742
803	3030	738
804	3034	735
805	3038	731
806	3042	727
807	3046	723
808	3049	719
809	3052	716
